"Quarter Ended September 30, 2023","Quarter Ended September 30, 2024","Year to Date September 30, 2023","Year to Date September 30, 2024"
19689,26301,53108,73582
3171,3985,8630,11106
5743,5846,16801,16975
-1824,-1071,-6093,-3809
869,-1981,1294,-2738
891,1407,2665,2592
-2821,-1431,-1315,-1321
1872,-1908,10392,-2797
-1624,-802,-2883,-2334
223,521,237,-42
3657,-1190,-380,-6366
103,381,-315,478
707,640,690,860
30656,30698,82831,86186
-8055,-13061,-21232,-38259
-13833,-22023,-49422,-65034
15593,23202,52642,81779
-663,-1035,-2176,-3234
562,127,743,732
-126,-2753,-466,-2840
-628,-2468,-985,-2500
-7150,-18011,-20896,-29356
-2432,-3003,-7157,-9141
-15787,-15291,-45313,-46671
0,-2455,0,-4921
1248,3819,9298,8694
-1414,-3449,-9621,-8951
3,285,8,293
-18382,-20094,-52785,-60697
-351,141,-327,-222
4773,-7266,8823,-4089
25929,27225,21879,24048
30702,19959,30702,19959
